,id,statement_code,category_code,statement_content,direction_code,parent_statement_code,attributes,statement_level,serial_number,create_user,create_time,modify_user,modify_time,del_stat,version_no
33,670,1096330210002005,1095330200000003,间接原因事件,1095330210000004,1095330210000004,,1,999,zstx,2023-11-30 08:15:29,qidekang,2024-01-21 14:26:09,1,0
34,671,109633022000100a,1095330200000003,结果事件,1095330220000005,1095330220000005,,1,999,zstx,2023-11-30 08:15:38,qidekang,2024-01-21 14:26:09,1,0
35,672,1096330330001001,1095330300000006,并行任务,1095330330000009,1095330330000009,,1,999,zstx,2023-11-30 08:15:51,system_user,2024-01-21 14:26:09,0,0
36,673,109633033000200a,1095330300000006,并行进程,1095330330000009,1095330330000009,,1,999,zstx,2023-11-30 08:16:01,system_user,2024-01-21 14:26:09,0,0
37,674,1096330330003006,1095330300000006,前置节点,1095330330000009,1095330330000009,,1,999,zstx,2023-11-30 08:16:14,guochengjie,2024-01-21 14:26:09,0,0
38,675,1096330330004002,1095330300000006,后序节点,1095330330000009,1095330330000009,,1,999,zstx,2023-11-30 08:16:22,guochengjie,2024-01-21 14:26:09,0,0
39,682,1096440230001002,1095440200000007,实体连接物品,109544023000000a,109544023000000a,,1,999,zstx,2023-11-30 08:17:58,admin,2024-01-21 14:26:09,1,0
40,683,1096440230001012,1095440200000007,供水管网,109544023000000a,1096440230001002,,2,999,zstx,2023-11-30 08:18:07,admin,2024-01-21 14:26:09,1,0
41,684,1096440230001022,1095440200000007,电力管网,109544023000000a,1096440230001002,,2,999,zstx,2023-11-30 08:18:15,admin,2024-01-21 14:26:09,1,0
42,685,109644023000200b,1095440200000007,虚拟连接物品,109544023000000a,109544023000000a,,1,999,zstx,2023-11-30 08:18:27,admin,2024-01-21 14:26:09,1,0
43,686,109644023000201b,1095440200000007,数据传输,109544023000000a,109644023000200b,,2,999,zstx,2023-11-30 08:18:36,admin,2024-01-21 14:26:09,1,0
44,687,109644023000202b,1095440200000007,手机通话,109544023000000a,109644023000200b,,2,999,zstx,2023-11-30 08:18:43,admin,2024-01-21 14:26:09,1,0
