"id","property_code","property_name","property_name_cn","attributes","category_code","crowd_stat","category_type","property_type","serial_number","create_user","create_time","modify_user","modify_time","del_stat","version_no","identify_type"
"42","106503000090000c","cause","原因",,"1051030000000000","0","0","0","13","system_user","2023-04-17 11:15:35","qidekang","2024-11-06 17:03:20","0","0",NULL
"43","1065030000a00002","state","状态",,"1051030000000000","0","0","0","14","system_user","2023-04-17 11:15:35","qidekang","2024-11-06 17:03:20","0","0",NULL
"47","1065040000200005","object_id","编号",,"1051040000000001","0","1","1","1","system_user","2023-04-17 11:15:37","qidekang","2024-11-06 17:03:20","0","0",NULL
"48","1065040000300008","name","名称",,"1051040000000001","0","0","0","3","system_user","2023-04-17 11:15:38","qidekang","2024-11-06 17:03:20","0","0",NULL
"49","106504000040000b","type","类型",,"1051040000000001","0","0","0","6","system_user","2023-04-17 11:15:39","qidekang","2024-11-06 17:03:20","0","0",NULL
"50","1065040000100002","identification_code","识别码","SN号等","1051040000000001","0","0","1","0","test_user","2023-04-17 11:15:39","admin","2024-11-06 17:03:20","0","0",NULL
"51","1065040000500001","functionality","功能",,"1051040000000001","0","0","0","7","system_user","2023-04-17 11:15:40","qidekang","2024-11-06 17:03:20","0","0",NULL
"52","1065040000600004","brand","品牌",,"1051040000000001","0","0","0","8","system_user","2023-04-17 11:15:40","qidekang","2024-11-06 17:03:20","0","0",NULL
"53","1065040000700007","model_number","型号",,"1051040000000001","0","0","0","9","system_user","2023-04-17 11:15:41","qidekang","2024-11-06 17:03:20","0","0",NULL
"54","106504000080000a","long","长",,"1051040000000001","0","0","0","999","system_user","2023-04-17 11:15:42","admin","2024-11-06 17:03:20","1","0",NULL
"55","1065040000900000","wide","宽",,"1051040000000001","0","0","0","999","system_user","2023-04-17 11:15:42","admin","2024-11-06 17:03:20","1","0",NULL
"56","1065040000a00003","high","高",,"1051040000000001","0","0","0","999","system_user","2023-04-17 11:15:43","admin","2024-11-06 17:03:20","1","0",NULL
"57","1065040000b00006","weight","重量",,"1051040000000001","0","0","0","11","system_user","2023-04-17 11:15:43","qidekang","2024-11-06 17:03:20","0","0",NULL
"58","1065040000c00009","capacity","容量",,"1051040000000001","0","0","0","12","system_user","2023-04-17 11:15:44","qidekang","2024-11-06 17:03:20","0","0",NULL
"59","1065040000d0000c","material","材质","塑料, 金属, 木材","1051040000000001","0","0","0","13","system_user","2023-04-17 11:15:44","qidekang","2024-11-06 17:03:20","0","0",NULL
"60","1065040000e00002","date_of_production","生产日期",,"1051040000000001","0","0","0","14","system_user","2023-04-17 11:15:45","qidekang","2024-11-06 17:03:20","0","0",NULL
"61","1065040000f00005","validity_period","有效期限",,"1051040000000001","0","0","0","15","test_user","2023-04-17 11:15:46","qidekang","2024-11-06 17:03:20","0","0",NULL
"62","1065040001000008","state","状态","正常, 待维修, 损坏","1051040000000001","0","0","0","16","system_user","2023-04-17 11:15:46","qidekang","2024-11-06 17:03:20","0","0",NULL
"63","1065050000200006","organization_id","编号",,"1051050000000002","0","1","1","1","system_user","2023-04-17 11:15:47","admin","2024-11-06 17:03:20","0","0",NULL
"64","1065050000300009","name","名称",,"1051050000000002","0","0","0","3","system_user","2023-04-17 11:15:47","qidekang","2024-11-06 17:03:20","0","0",NULL
"65","106505000040000c","type","类型","政府机关, 事业单位, 企业","1051050000000002","0","0","0","6","system_user","2023-04-17 11:15:48","qidekang","2024-11-06 17:03:20","0","0",NULL
"66","1065050000500002","responsibility","职责",,"1051050000000002","0","0","0","7","system_user","2023-04-17 11:15:48","qidekang","2024-11-06 17:03:20","0","0",NULL
"67","1065050000600005","state","状态","营业, 停业, 停业, 筹建","1051050000000002","0","0","0","8","system_user","2023-04-17 11:15:49","qidekang","2024-11-06 17:03:20","0","0",NULL
"68","1065050000700008","personnel_scale","人员规模",,"1051050000000002","0","0","0","9","system_user","2023-04-17 11:15:49","qidekang","2024-11-06 17:03:20","0","0",NULL
"69","106505000080000b","date_of_establishment","成立日期",,"1051050000000002","0","0","0","10","system_user","2023-04-17 11:15:50","qidekang","2024-11-06 17:03:20","0","0",NULL
